,Name,Headline,Location,Link
0,Name not found,PLC programmer,Rumia,
1,Name not found,Software Engineer (PLC),Gdańsk,
2,Name not found,Plc Programmer,Kielce,
3,Name not found,Młodszy specjalista ds. Programowania PLC w firmie Automaze Sp. z o.o.,Reda,
4,Name not found,PLC Programmer,Gdańsk,
5,Name not found,mgr inż. Automatyk,"Pomorskie, Poland",
6,Name not found,Automatyk/PLC programmer,Rydułtowy,
7,Name not found,PLC Programmer,Olsztyn,
8,Name not found,Młodszy specjalista ds. programownia PLC,Gdynia,
9,Name not found,PLC Programmer,Gdańsk,
10,Name not found,Software Designer and commissioner for PLC and robots,Gdansk Metropolitan Area,
